Name,Station or Publication,Date Used,Year,Month,Location,Program?,Program Content,Source,RTC,Graphic Used,Logged By,RT,TW,FB,Other Social Media,Online Article,How was it found first?,MW,On Air,Time of Airing,On Air,Time of Airings,How was TV Found?,IQ Graphic Notes,Audience Size,Publicity Value,Connects to Climate Change on Air?,Total CC Hits,Total CM Hits,Total CMN Hits,Spanish?,Download?,Comments,Link to online content,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Gargaro,WOFL/FOX,9/24/20,2020,September,FL,CMN,Rapid Response Workshop: Hurricane Season - Impacts,CMN,,,Lisa,0,0,0,0,0,,,0,,5,"5:46pm, 10:51pm on 24th; 1:26am on 25th; 7:45am, 8:41am on 26th",IQ,Zero,147737,5072,,5,5,5,,,"Covered Hurricanes workshop, interviewing Sean and other experts from the webinar. Saved on IQ under 'Climate Central'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/3/20,2020,September,IA,CM,,CC,,,Kristie,0,1,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/AmberAwx/status/1301719026134126592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/15/20,2020,September,IA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1305956862395809792/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/21/20,2020,September,IA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1308126616342671360/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Sullins,KNXV/ABC,9/20/20,2020,September,AZ,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove",Lisa,0,0,0,0,0,,,0,,3,"4:48pm, 8:49pm, 10:45pm",IQ,Found,218840,8981,Y,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Sullins,KNXV/ABC,9/22/20,2020,September,AZ,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map",Kristie,0,1,1,0,0,TweetDeck,,0,,2,"4:39pm, 10:10pm",IQ,Found,169912,5146,,4,4,0,,,,https://twitter.com/AmberSullins/status/1308488737727291393,https://www.facebook.com/AmberSullinsABC15/posts/3608740055837714?__cft__[0]=AZUzpja2ySpykefRAbwDoY9geZf9x4AxDq0fQOtEZC5Q6bgnX3oWMG_Z8BruXKkMUwp3wJftA0ynsGkW60dBy-4LKzHesyvKf8lQqdcSZ0hxxkrc210eO43Lrr0H19IEvs9YJAeLP-nuYXKAlMPZlUy_gYeHnP0JA080bPfuv_icZ2Co7d5drqZrtKbVjCTrZK8&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Sullins,KNXV/ABC,9/28/20,2020,September,AZ,CM,2020WesternWildfires,CM,,"2020Wildfire_TotalAcresBurned, 2020Wildfire",Lisa,0,0,0,0,0,,,0,,1,6:34 PM,IQ,Found,95207,4885,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Draper,WRC/NBC,9/21/20,2020,September,DC,CM,2019Wildfire,CM,,2019Wildfire_Western,Lisa,0,0,0,0,0,,,0,,1,11:40 AM,IQ,Found,66894,1849,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Draper,WRC/NBC,9/21/20,2020,September,DC,CM,2020Records,CM,,2020Records_Map,Kristie,0,1,1,0,0,TweetDeck,,0,,3,"4:51pm, 5:49pm on 21st; 11:04am on 22nd",IQ,Found,325773,10304,,5,5,0,,,,https://twitter.com/amelia_draper/status/1308415559680356352,https://www.facebook.com/AmeliaDraperWeather/photos/a.1807117869513793/3375669905991907/?__cft__[0]=AZXjFTdxUgE3aJkK9Fd0QYPujieUplZbbwqOcoTppnu-E9hcPdHuBiIqlheOv3q144HC191w5AnR4QrZe88qdL3JkJv3WB6VbXHPPT6PZO0XPz30jGHXv6ZB0JjpdfBhSsWnSIiCfkWHVz1JMNT_tfCANBwNu8Vh2CHBlGuXPyETdRjSXTH99c13E_XmsN4X_AxZrPgt3aASj7nlngUCYb25&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Draper,WRC/NBC,9/22/20,2020,September,DC,CM,2020SmokeWaves,CM,,2017WildfireAirQuality,Lisa,0,0,0,0,0,,,0,,1,11:39 AM,IQ,Found,63806,1764,,1,1,0,,,Changing Climate series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Draper,WRC/NBC,9/30/20,2020,September,DC,CM,2016FallFoliage,CM,,2016FallFoliage_ThreeExplainers.gif,Kelly,0,0,1,0,0,FB search,,0,,1,4:40 PM,Broad search,Lost,79210,1759,,2,2,0,,,,https://www.facebook.com/AmeliaDraperWeather/videos/2798260680409280/?__xts__%5B0%5D=68.ARC_NwvU7eg8g_IO_rElwn763Ito7tHN27V4Rcw-MmOGsienr1us26SuIqUgmnA8HtAizciOXqOa7D4F_UFeAtnVGVzx6oHXWH6UvE6AIs-sFMj5oC4TO1Rtcw55N6O5U7WGgFJCUhXB59DduuSQv96p5Da91TdA_eqaEU8AS19sIdo2LJO9pv0mQADubKKtP2StHtzUOo1mPA6LSp7FDmXU5Qa38pItEQnrPCYz5Li_jxA3iAh-0w_MP4f7oeduF0lE36nb31qyeooWn_U_hvL7ZGjJx7Hfcp6us377rkQfwGWLwmCdq41g3dYXimjcizJOw1VohiJXx4YAVb6YZ7PCt1jFSVoWtgfWuHq_&__tn__=-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Cristina Mosebo Fernandas,,9/16/20,2020,September,,,States at Risk,CM,,,Kristie,0,0,0,0,1,Meltwater,,0,,0,,,,,,,1,1,0,,,,https://www.mdpi.com/2071-1050/12/18/7657/htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Cristina Sanchez,The San Diego Union-Tribune,9/5/20,2020,September,CA,CM,OHW2020,CM,,"2020OHW_Info, 2020OHW_Map, 2020OHW_Temp",Kristie,0,0,0,0,1,Meltwater,MW,0,,0,,,,,,,1,1,0,,,,https://www.sandiegouniontribune.com/en-espanol/el-clima/articulo/2020-09-05/aumentan-las-olas-de-calor-marinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Cristina Sanchez,The San Diego Union-Tribune,9/12/20,2020,September,CA,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map",Lisa,0,0,0,0,1,Google Alert,MW,0,,0,,,,,,,1,1,0,,,,https://www.sandiegouniontribune.com/en-espanol/el-clima/articulo/2020-09-12/el-calentamiento-del-otono-sigue-siendo-tendencia-en-el-pais,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Cristina Sanchez,The San Diego Union-Tribune,9/26/20,2020,September,CA,CM,2020Records,CM,,"2020Records, 2020Records_Map",Kristie,0,0,0,0,1,Meltwater,,0,,0,,,,,,,1,1,0,,,,https://www.sandiegouniontribune.com/en-espanol/el-clima/articulo/2020-09-26/el-verano-2020-las-temperaturas-de-esta-temporada-marcan-hito-en-la-historia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Berkley and John Letzing,World Economic Forum,9/23/20,2020,September,National,,Surging Seas,SLR,,,Lisa,0,0,0,0,1,Google Alert,,0,,0,,,,,,,0,0,0,,,,https://www.weforum.org/agenda/2020/09/the-worst-case-climate-change-scenario-could-look-like-this-we-need-to-avert-it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Freedman,,9/6/20,2020,September,DC,CMN,Hottest Days of Summer,CMN,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,1,,,,https://twitter.com/BernadetteWoods/status/1302788192849088515/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Freiden,WWBT/NBC,9/7/20,2020,September,VA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1302956684118286338/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Lisa,The Stacker,9/16/20,2020,September,,,2020DaysAbove,CM,,,Kristie,0,0,0,0,29,Google Alert,MW,0,,0,,,,,,,29,29,0,,,,https://www.thetelegraph.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://www.msn.com/en-us/weather/topstories/50-cities-facing-more-extreme-heat-in-2020/ss-BB197L9i#image=1,https://www.seattlepi.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://www.bigrapidsnews.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://www.manisteenews.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://www.registercitizen.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://www.middletownpress.com/news/article/50-cities-facing-more-extreme-heat-in-2020-15573800.php,https://kfor.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://wreg.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://fox59.com/news/50-american-cities-facing-extreme-heat-in-2020/,https://www.wric.com/news/u-s-world/50-cities-facing-more-extreme-heat-in-2020/,https://www.8newsnow.com/news/national-news/50-cities-facing-more-extreme-heat-in-2020/,https://www.counton2.com/news/national-news/50-cities-facing-more-extreme-heat-in-2020/,https://www.cenlanow.com/national/50-cities-facing-more-extreme-heat-in-2020/,https://www.ksn.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://www.abc27.com/news/environment/50-cities-facing-more-extreme-heat-in-2020/,https://www.mywabashvalley.com/news/national-news/50-cities-facing-more-extreme-heat-in-2020/,https://www.wdtn.com/news/u-s-world/50-cities-facing-more-extreme-heat-in-2020/,https://www.everythinglubbock.com/news/national/50-cities-facing-more-extreme-heat-in-2020/,https://www.wavy.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://www.mytwintiers.com/news-cat/50-cities-facing-more-extreme-heat-in-2020/,https://www.wkrn.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://www.abc4.com/news/national/50-cities-facing-more-extreme-heat-in-2020/,https://www.arklatexhomepage.com/news/national/50-cities-facing-more-extreme-heat-in-2020/,https://www.wate.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://www.kron4.com/news/50-cities-facing-more-extreme-heat-in-2020/,https://myfox8.com/weather/50-cities-facing-more-extreme-heat-in-2020/,https://www.wjtv.com/news/national/50-cities-facing-more-extreme-heat-in-2020/,https://www.krqe.com/weather/50-cities-facing-more-extreme-heat-in-2020/
Andrew McCormick,The Guardian,9/24/20,2020,September,National,,,CC,,,Lisa,0,0,0,0,5,Google Alert,MW,0,,0,,,,,,,5,0,0,,,,https://www.theguardian.com/us-news/2020/sep/24/kentuckys-climate-is-suffering-can-the-state-slip-the-industry-ties-that-prevent-change,https://www.thenation.com/article/environment/mcconnell-kentucky-climate-change/,https://1sourcenews.com/kentuckys-climate-is-changing-will-its-politics-politics-trump/,http://www.envirolink.org/2020/09/25/kentuckys-climate-is-changing-will-its-politics/,https://www.yesmagazine.org/environment/2020/09/28/kentucky-climate-change-environmental-movement/,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Carpino,WRWD/NBC,9/30/20,2020,September,GA,,,CC,,,Kristie,0,0,0,0,1,Meltwater,MW,0,,0,,,,,,,1,0,0,,,directs viewers to learn more about climate change on our website,https://www.wrdw.com/2020/09/30/news-12-now-science-weekly-92720/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Yanez,KNBC/NBC,9/22/20,2020,September,CA,CM,"2019IPCCOcean, 2020ArcticMin",CM,,"2015SeaIce_HeatSpiral, 2020ArcticMin",Lisa,0,0,0,0,0,,,0,,1,4:51 PM,IQ,Found,173889,5908,Y,1,1,0,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Scalari,Freelance,9/7/20,2020,September,Italy,,2020GlobalTempCheckup,CM,,2020GlobalTempCheckup_HorseRace,Kelly,0,0,1,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://www.facebook.com/antonio.scalari1/posts/10224234943607787?__xts__%5B0%5D=68.ARDGuHoETY40uo41xXJvk_IrGKQ10SlHkviCXz1ZC48wzrYWiTjA7vk9jPlC2W69NqeuniEbWNmYF-FZoYZD9FgrBe1o3m19jVYRp0Zr3DAkDp1Ts8SLLkrD5Q3HJdVJT_HfHASTKH56Rlx-PoFKZPFzqQc9uyItIpUpoTECxN7Z3MHkdkFngOn6dHF1n4sTXfqMozas5urG0cvDIDfcMak-kcW8pemFIk7oO0-BmMpMxP5rz46ZHc93Bx9hWFUEYxpmg3gdQT5V4TzEKVroZwE6Zh6SCC8nyxkm1I-HytrXWhzpOPFYmtgplA&__tn__=-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariana Brocious,KUAZ/NPR,9/4/20,2020,September,AZ,CMN,"2020DaysAbove, 2020SummerPackage",CMN,,"2020DaysAbove, 2020SummerPackage_AvgT",Kristie,0,0,0,0,1,Meltwater,,0,,0,,,,,,,1,1,1,,,,https://news.azpm.org/p/news-topical-nature/2020/9/4/179760-the-risks-of-severe-heat/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Carl,The Nature Conservancy,9/22/20,2020,September,OK,CMN,2020ArcticMin,CMN,,2020ArcticMin,Kristie,0,3,1,0,0,TweetDeck,,0,,0,,,,,,,4,4,4,,,,https://twitter.com/OKBradCarl/status/1308416121096339461,https://twitter.com/OKBradCarl/status/1308417487596290051,https://twitter.com/OKBradCarl/status/1308417487596290051,https://www.facebook.com/OKBradCarl/posts/1702543473245833?__cft__[0]=AZVMcRWUxkx_wdoYJ0-CnmUL9UnJiab2Jji3wft6OMSWjAwXpDwZmJ4VUsHVpPA0fNOt4bmZZUQoQYaHn0_-2FXxqYhAYSHSvHpR7uZwChgCw2vLJur2QUWqgFhmQL2Ol_Tx3pxgou1u8bmvEzavk9bpw-pGbB5hpTStxzj_UGD-e_TG1Dx8Mxyta8wvXn7eQj8&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Dery,KARE/NBC,9/17/20,2020,September,WA,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,0,,,0,,1,5:19 PM,IQ,Found,116039,1416,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Ryan,,9/11/20,2020,September,NY,CMN,2020FallPackage,CMN,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,1,,,CM mentioned with history,https://twitter.com/MaibachEd/status/1304493630250418176/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise Keller,KAAL/ABC,9/29/20,2020,September,MN,CM,2020OHW,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/BernadetteWoods/status/1310906784643715072/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Henson,Washington Post,9/23/20,2020,September,CO,CM,2020HurricanesII,CM,MW,,Lisa,0,0,0,0,4,Google Alert,,0,,0,,,,,,,4,4,0,,,,https://www.google.com/url?rct=j&sa=t&url=https://www.washingtonpost.com/weather/2020/09/23/atlantic-hurricanes-record-2020/&ct=ga&cd=CAEYASoTMjc3MTI1ODgwMTgzOTY0MzIzMzIcMTJkNDI0NjMzZGFlY2I4MTpjb206ZW46VVM6TA&usg=AFQjCNGCCU2sHSoeQNhgizN8WRK_WNrQvw,https://www.pressdemocrat.com/article/news/why-the-2020-atlantic-hurricane-season-has-spun-out-of-control/,https://www.sentinelsource.com/why-the-2020-atlantic-hurricane-season-has-spun-out-of-control/article_a2796b89-52e4-5537-ab4a-9e082e881414.html,http://thewashingtonpostnie.newspaperdirect.com/epaper/showarticle.aspx?article=f8fbcc44-18b0-4a7f-8d7d-20262e8bdb25,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie Schneider,,9/30/20,2020,September,NY,CM,2020PowerOutages,CM,,2020PowerOutages_Line,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/BonnieWeather/status/1311340080074813445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Kahn,Earther,9/4/20,2020,September,NY,CMN,2020CDD,CMN,,,Kristie,0,1,0,0,0,Google Alert,,0,,0,,,,,,,1,1,1,,,,https://twitter.com/blkahn/status/1301965199566671872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Rivers,WJCT/NPR,9/11/20,2020,September,FL,CMN,2020FallPackage,CMN,,2020FallPackage_AvgT,Kristie,0,1,0,0,1,TweetDeck,,0,,0,,,,,,,2,2,2,,,"Credits CC for increase in climate coverage, explains history",https://adaptflorida.org/tv-weathercasters-could-be-key-to-climate-action/,https://twitter.com/BrendanRivers/status/1304476515837632513,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Rivers,WJCT/NPR,9/14/20,2020,September,FL,CMN,Risk Finder,"SLR, CMN",,,Kelly,0,0,0,0,1,Email,,0,,0,,,,,,,1,1,1,,,,https://news.wjct.org/post/8-fla-groups-call-congress-support-real-estate-flood-disclosure-requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Rivers,WJCT/NPR,9/23/20,2020,September,FL,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1308741382610264066/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Watts,WDBJ/CBS,9/11/20,2020,September,VA,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/WeatherProf/status/1304479713168162816/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Anthony,KCTV/CBS,9/12/20,2020,September,MO,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,0,,,0,,1,5:17 PM,IQ,Found,41319,483,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittany Martin,Los Angeles Magazine,9/11/20,2020,September,CA,,2020WesternWildfires,CM,,2020Wildfire,Lisa,0,1,0,0,2,Google Alert,MW,0,,0,,,,,,,3,3,0,,,,https://www.lamag.com/article/wildfire-destruction-accelerating/,https://twitter.com/LAmag/status/1304600647166300161,https://usa-online-news.com/politics/californias-wildfires-now-are-five-times-more-destructive-than-in-1972/,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooke Zegarelli,Spectrum News Rochester/ Buffalo,9/16/20,2020,September,NY,,2020Records,CM,,2020Records_Map.gif,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/CarsonMetcalf/status/1306462129516687360/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Walsh,,9/19/20,2020,September,,,2020WesternWildfires,CM,,,Kristie,0,0,0,0,2,Meltwater,,0,,0,,,,,,,2,2,0,,,,https://www.axios.com/climate-change-extreme-hurricanes-wildfires-94b3f5f1-b01f-4428-b31c-8d04610c8c90.html,https://www.newsbreak.com/news/2065360509904/pinpointing-climate-changes-role-in-extreme-weather,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candice King,WTVO/ABC,9/24/20,2020,September,IL,CM,2020ArcticMin,CM,,2020ArcticMin,Lisa,0,0,1,0,0,Broad search,,0,,0,,,,,,,1,1,0,,,,https://www.facebook.com/CandiceKingFirstWarn/posts/10158978129919728?__cft__[0]=AZVvJjQQL4y49XKgGYVNC5B_HSH3hakeN7kq5JZqhwL8gasSINJdwmKX4rqdoqnSvium1wDuW0J-YZQXmCPlEQwUiSSqSJoY0AbUoeEe5bhuEoT1Omijndde_MLFgwxKoUYuU1e19SLti8iAMPcehB9MUKoHxn-6OBEthiMkaCPbXhByu9DXeGd2MntVOM5KHkU&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Robles,KTMD/Telemundo,9/23/20,2020,September,TX,CM,2020HurricanesII,CM,,"2020Hurricanes_OceanT, 2020Hurricanes_Global",Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/JohnMoralesNBC6/status/1308773476778602500/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Metcalf,Spectrum News New York State,9/16/20,2020,September,NY,CM,2020Records,CM,,2020Records_Map.gif,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/CarsonMetcalf/status/1306462129516687360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spectrum News New York State,9/16/20,2020,September,NY,CM,2020Records,CM,,2020Records_Map.gif,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/CarsonMetcalf/status/1306462129516687360/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Metcalf,Spectrum News New York State,9/21/20,2020,September,NY,CM,2020ArcticMin,CM,,2020ArcticMin,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1308154565800361985/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
